Kurs,Müddəti,Keçirilmə Forması,Kursun Qiyməti (Aylıq),Kimlər Üçündür?,Kursun Qısa Məzmunu,,,,,Marafonun adı,MARAFONUN Qiyməti,Müddəti (Ay),Daxildir ,Dərsin növü:,Əlaqə nömrəsi:,,Diplom nümunəsi:,Sertifikat nümunəsi,,Sual,Hazır cavab
,,,,,,,,,,Tibb marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,Stressin idarə olunması marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,Təlimçilik marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,İdeal müəllimlik marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,Sahibkar müəllim marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,SMM marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,SƏTƏM marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,İngilis -dili marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,Layihələrin idarə olunması,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,İT marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,HR insan resursları marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,HR( insan resurslar)ı marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,, Ünsiyyət marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,, Müştəri xidmətləri marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,İT marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,HR insan resursları marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,Ünsiyyət marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,Müştəri xidmətləri marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,"Canva-da yarat,Sosial-da sat marafonu",20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,Sığorta marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
,,,,,,,,,,İqtisadiyyat marafonu,20 AZN,1 AY,PDF material və Rəsmi Premium Sertifikat,Video dərslər,994518885784,,,,,,
